id,category,question,answer,source
1,请假,怎么请病假,病假需要辅导员签字假条+校医院诊断证明，3天内提交至教务处学生科,学生手册P23
2,请假,事假怎么申请,事假提前3天提交纸质假条，辅导员审批，超过7天需院系主任签字,学生手册P24
3,请假,请假最多能请多久,单次事假不超过14天，累计一学期不超过30天,学生手册P25
4,奖学金,奖学金绩点要求,学年平均绩点≥3.0，无挂科记录，体测成绩合格,学生手册P45
5,奖学金,国家奖学金申请条件,专业排名前5%，无违纪，积极参与校园竞赛与志愿活动,教务处通知2026
6,奖学金,助学金怎么申请,每年9月提交家庭困难证明，辅导员初审后院系评审,学生资助管理中心
7,宿舍报修,宿舍灯具损坏找谁报修,线上企业微信后勤报修小程序提交，宿管24小时内上门维修,后勤管理规定
8,宿舍报修,水管漏水怎么处理,先关闭房间水阀，小程序提交报修，紧急情况直接联系宿管值班室,后勤管理规定
9,宿舍报修,空调坏了维修收费吗,非人为损坏免费维修，人为损坏需要自行承担配件费用,后勤通知
10,一卡通,校园卡丢失怎么补办,先在校园小程序挂失，携带身份证到行政楼一楼卡务中心补办,校园卡管理办法
11,一卡通,一卡通充值渠道,微信公众号、校园圈存机、支付宝校园生活均可充值,校园卡管理办法
12,一卡通,校园卡消磁了怎么办,携带身份证前往卡务中心重新写卡，当场可取,卡务中心须知
13,选课,选课开放时间,每学期第16周开启预选，新学期第一周正式选课,教务通知
14,选课,选错课程如何退课,开学第一周可线上退课，超过一周需填写纸质退课表交教务处,教务通知
15,选课,选修课挂科需要重修吗,选修课挂科不计入绩点，可在下学期重新选课,教务处规定
16,校园网络,校园WiFi怎么连接,学号为账号，身份证后六位为初始密码,信息中心通知
17,图书馆,图书馆开放时间,周一至周五8:00-21:30，周末9:00-17:00,图书馆公告
18,图书馆,借书最多能借几本,学生一次最多借阅8本，借期30天，可续借一次,图书馆借阅规则
19,实训,实训请假流程,实训期间请假必须由实训指导老师+辅导员双重签字,实训管理条例
20,毕业,毕业需要多少学分,专科总学分不低于130学分，包含实训学分,人才培养方案
21,请假,病假逾期提交会有什么后果,超过3天未提交病假材料，请假审批失效，缺勤按旷课记录,学生手册P23
22,请假,事假材料丢失怎么补审批,重新打印纸质假条找辅导员签字，超过7天的需院系主任二次确认,学生手册P24
